DATA,REG_ANS,CD_CONTA_CONTABIL,DESCRICAO,VL_SALDO_INICIAL,VL_SALDO_FINAL,ano,trimestre
2025-07-01,348244,411411141,Despesas com Eventos / Sinistros,2403.38,3065.41,2025,3T
2025-07-01,348244,411411151,Despesas com Eventos / Sinistros,159.07,234.16,2025,3T
2025-07-01,348244,411411161,Despesas com Eventos / Sinistros,5305.0,8247.35,2025,3T
2025-07-01,348244,411411211,Despesas com Eventos / Sinistros,8402.59,13208.86,2025,3T
2025-07-01,348244,411411221,Despesas com Eventos / Sinistros,243942.86,384703.22,2025,3T
2025-07-01,348244,411411241,Despesas com Eventos / Sinistros,223399.97,319731.08,2025,3T
2025-07-01,348244,411411251,Despesas com Eventos / Sinistros,40969.86,78725.8,2025,3T
2025-07-01,348244,411411261,Despesas com Eventos / Sinistros,407808.99,626785.42,2025,3T
2025-07-01,348244,411412181,Despesas com Eventos / Sinistros,1625.92,2059.39,2025,3T
2025-07-01,348244,411412281,Despesas com Eventos / Sinistros,159917.06,258460.77,2025,3T
2025-07-01,348244,411511111,Despesas com Eventos / Sinistros,84831.79,260240.02,2025,3T
2025-07-01,348244,411511121,Despesas com Eventos / Sinistros,4909095.17,8033961.43,2025,3T
2025-07-01,348244,411511141,Despesas com Eventos / Sinistros,2579800.29,3964174.87,2025,3T
2025-07-01,348244,411511151,Despesas com Eventos / Sinistros,1170988.71,1582084.4,2025,3T
