RegistroANS,CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
320251,,,2T,2025,12717782112
320510,,,2T,2025,1535704434
320706,,,2T,2025,17791711295
320820,,,2T,2025,2984318750
320838,,,2T,2025,2561289430
320862,,,2T,2025,6987021575
320897,,,2T,2025,4998100304
321044,,,2T,2025,50055949596
321087,,,2T,2025,2434781077
321125,,,2T,2025,980295436
321273,,,2T,2025,44150407117
321320,,,2T,2025,1037635527
321338,,,2T,2025,53445441
321931,,,2T,2025,1507291552
321958,,,2T,2025,18690159471
322326,,,2T,2025,549086993
322571,,,2T,2025,8806933672
322831,,,2T,2025,4656601775
322890,,,2T,2025,261189541
323004,,,2T,2025,1403082549
323055,,,2T,2025,3247480407
323080,,,2T,2025,276220060905
323268,,,2T,2025,22853861805
323357,,,2T,2025,7094736936
323926,,,2T,2025,5609112585
323942,,,2T,2025,1999748280
323993,,,2T,2025,9043499399
324159,,,2T,2025,4692172580
324175,,,2T,2025,2461341737
324213,,,2T,2025,124141520
324299,,,2T,2025,1751507604
